,character,line #,line
117,HANNA,117,"Hang in with Forensics on all
physical evidence."
118,HANNA,118,"How'd they know the route of the
van and what it was carrying?
Does Gage print the day's routes?
What do they do with the
printouts? Who collects their
trash? Run makes on all their
middlemanagement. Did someone
give this score up?"
119,HANNA,119,"Check the three guards. See if
one of them was a tipster."
120,BOSKO,120,"What's the vibe: home-grown or
out-of-town?"
121,HANNA,121,"Out-of-town. Frankly, I hope
they are scoring once and passing
through. And I doubt it."
122,HEINZ,122,This going to stay in Area?
123,HANNA,123,"This look like boosters working
the local Seven Eleven to you?
It goes to Major Crime."
124,HANNA,124,Go to work.
125,WAINGRO,125,Anybody want some pie?
126,NEIL,126,"This is a partial   split, but I
took out of ours   - every - to
make up..."
127,NEIL,127,"...his full end.    Because I want
to settle him up   and get rid of
this jagoff right   now."
128,CERRITO,128,Okay.
129,NEIL,129,Fuck off.
130,WAINGRO,130,I had to dust him!
131,NEIL,131,"Electricity and chemicals a little
fucked up?"
132,NEIL,132,You a shooter? Speed? What?
133,NEIL,133,"You didn't have to. Now we got
extra heat off a clean score."
134,CERRITO,134,Hold it.
135,CHARLENE,135,Where's the rest?
136,CHRIS,136,That's it.
137,CHARLENE,137,"Eight thousand dollars?   You
gotta be kidding me!"
138,CHRIS,138,"I squared the bookies and we had
to pay off some guy and were
short to start 'cause the rest
is comin', in a coupla days. So
don't sweat it."
139,CHRIS,139,We're late.
140,CHARLENE,140,"Listen to me. ""As The World
Turns"" can get interrupted with
a news flash of you splattered
all over the street ..."
141,CHARLENE,141,"I can get sent up on an accessory
beef. Your son, Dominick, winds
up in a home. For $8,000?"
142,CHARLENE,142,"Honey, for $8,000, it ain't worth
the risk. Risk versus reward?
Baby?"
143,CHRIS,143,"Don't worry about money. Neil's
got..."
144,CHRIS,144,"Hey, if we're goin', let's go."
145,CHARLENE,145,"Where's the club you were going
to open?"
146,CHRIS,146,"Here comes the ""showgirl with a
future"" bit."
147,CHARLEJ,147,Shut up! I left for a good thing.
148,CHARLEJ,148,"Why am I even talking to you? I
can't talk to you. All you are
is a child growin' older..."
149,CHRIS,149,The hell's that mean?
150,CHARLENE,150,"It means we're not making forward
progress like real adults and
you won't listen."
151,CHRIS,151,"I told you: me and Neil got
planned ..."
152,CHARLENE,152,"""Me and Neil."" I'm married to
you, now. This isn't the fucking
joint."
153,CHRIS,153,Don't mouth off to me!
154,CHARLENE,154,I want out of here!
155,CHRIS,155,Well there's the fucking door!
156,CHRIS,156,"Only leave Dominick, the bank
book and the car keys on the
kitchen table!"
157,CHARLENE,157,"You can keep that other crap!
But Dominick goes with me."
158,CHRIS,158,"I'll find ya and kill you, you
bitch, wherever you are - you
ever try to take Dominick away
from me."
159,ANITA (O.S.),159,"Daddy, daddy!"
160,ELAINE,160,Hungry?
161,CERRITO,161,Starving.
162,ELAINE,162,You okay?
163,CERRITO,163,Put this away.
164,ANITA,164,"Daddy, what's in the box?"
165,CERRITO,165,What do you care?
166,CERRITO,166,Open it up.
167,EADY (0. C.),167,Help you with something?
168,NEIL,168,No thanks.
169,NEIL,169,You closing in a few minutes?
170,EADY,170,Yeah.
171,EADY,171,Excuse me.
172,EADY,172,You interested in metals?
173,NEIL,173,No.
174,NEIL,174,"It's the color reproduction of
these plates..."
175,EADY,175,"We have a first edition of
Kandinsky's Theory of Color with
hand pulled lithographic prints
bound in. Would you like see
it?"
176,NEIL,176,Sure.
177,EADY,177,I see you in here before.
178,NEIL,178,"You're open late.       Not many open
this late."
179,NEIL,179,What's your name?
180,EADY,180,Eady.   Eady Tse.      What's yours?
181,NEIL,181,Bukowski. Neil Bukowski.
182,CASALS (V.O.),182,M. C. U.
183,HANNA,183,"Bobby, it's me."
184,CASALS (V.O.),184,"Boss, whoever's fencing the Bearer
Bonds is either highline or out-
of-town. Everyone's talking
about it. No one knows about
it."
185,CASALS (V.O.),185,"Schwartz went through the indexes
on recent surveillance tapes?
No armored cars. No witnesses
on who stole the ambulance."
186,HANNA,186,Albert Torena call me back?
187,CASALS (V.O.),187,No.
188,HANNA,188,Hi.
189,JUSTINE,189,Where have you been?
190,HANNA,190,"Work. Harvey show or'd Lauren
get stood up again?"
191,JUSTINE,191,He didn't even call her.
192,HANNA,192,What an asshole. She okay?
193,JUSTINE,193,"She's been in her room all day
and won't talk. So ""no,"" she's
not okay. And neither am I."
194,JUSTINE,194,"If I try to create something
like a mood between us you back
away. I made a great dinner for
us. That was four hours ago."
195,JUSTINE,195,At least get yourself a plate...
196,HANNA,196,"There's three dead bodies in an
alley off Adams."
197,HANNA,197,"I'm really sorry the lamb got
overcooked."
198,HANNA,198,"Looking after her is tired.
Very tired. He doesn't know why
he said what he did. He regrets
it. So he turns on his TV to
watch the news and his eyes glaze
over."
199,EADY,199,What do you do?
