,character,line #,line
122,PHILIPPA (over phone),122,She's shaking her head.
123,COBB,123,"Well, we'll just have to hope
Grandma's wrong about that won't
we?"
124,JAMES,124,Daddy?
125,COBB,125,Yes?
126,JAMES (over phone),126,Is Mommy with you?
127,COBB,127,"No. No, we talked about this,
James. Mommy's gone."
128,JAMES (over phone),128,Where?
129,GRANDMA'S VOICE (over phone),129,"Time to go, kids. Say bye-bye-"
130,COBB,130,"I'll give some presents to Grandpa,
okay? Just be good for-"
131,ARTHUR,131,Our ride's on the roof.
132,ARTHUR,132,Cobb... are you okay?
133,COBB,133,"Yeah, why?"
134,ARTHUR,134,"Down in the dream... Mal showing up
like that ..."
135,COBB,135,Yeah. I'm sorry about your leg.
136,ARTHUR,136,"It's getting worse, isn't it?"
137,COBB,137,"One apology's all you're getting,
Arthur. Now, where's Nash?"
138,ARTHUR,138,Hasn't shown. Wanna wait?
139,COBB,139,"We were supposed to deliver Saito's
expansion plans to Cobol Engineering
two hours ago. By now they know we
failed. Time to disappear."
140,ARTHUR,140,Where will you go?
141,COBB,141,"Buenos Aires. I can lie low there.
Maybe sniff out a job when things
quiet down. You?"
142,ARTHUR,142,Stateside.
143,COBB,143,'Course. Send my regards.
144,SAITO,144,"He sold you out. Thought to come to
me and bargain for his life..."
145,SAITO,145,So I offer you the satisfaction.
146,COBB,146,That's not how I deal with things.
147,SAITO,147,Would you work with him again?
148,COBB,148,What will you do to him?
149,SAITO,149,"Nothing. But I can't speak for your
friends from Cobol Engineering."
150,COBB,150,What do you want from us?
151,SAITO,151,Inception.
152,SAITO,152,Is it possible?
153,ARTHUR,153,Of course not.
154,SAITO,154,"If you can steal an idea from
someone's mind, why can't you plant
one there instead?"
155,ARTHUR,155,"Okay, here's planting an idea: I
say to you, ""Don't think about
elephants."""
156,ARTHUR (CONT'D),156,What are you thinking about?
157,SAITO,157,Elephants.
158,ARTHUR,158,"Right. But it's not your idea
because you know I gave it to you."
159,SAITO,159,You could plant it subconsciously-
160,ARTHUR,160,"The subject's mind can always trace
the genesis of the idea. True
inspiration is impossible to fake."
161,COBB,161,"No, it isn't."
162,SAITO,162,Can you do it?
163,COBB,163,I won't do it.
164,SAITO,164,"In exchange, I'll give you the
information you were paid to steal."
165,COBB,165,"Are you giving me a choice? Because
I can find my own way to square
things with Cobol."
166,SAITO,166,Then you do have a choice.
167,COBB,167,And I choose to leave.
168,SAITO,168,"Tell the crew where you want to go,
they'll file the plan en route."
169,SAITO,169,"Mr. Cobb...? There is one other
thing I could offer you."
170,SAITO,170,"How would you like to go home? To
America. To your children."
171,COBB,171,You can't fix that. Nobody could.
172,SAITO,172,Just like inception.
173,ARTHUR,173,"Cobb, come on-"
174,COBB,174,How complex is the idea?
175,SAITO,175,Simple enough.
176,COBB,176,"No idea's simple when you have to
plant it in someone else's mind."
177,SAITO,177,"My main competitor is an old man in
poor health. His son will soon
inherit control of the corporation.
I need him to decide to break up
his father's empire. Against his
own self-interest."
178,ARTHUR,178,"Cobb, we should walk away from
this."
179,COBB,179,"If I were to do it. If I could do
it... how do I know you can
deliver?"
180,SAITO,180,"You don't. But I can. So do you
want to take a leap of faith, or
become an old man, filled with
regret, waiting to die alone?"
181,SAITO,181,"Assemble your team, Mr. Cobb. And
choose your people more wisely."
182,ARTHUR,182,I know how much you want to go home-
183,COBB,183,"No, you don't."
184,ARTHUR,184,But this can't be done.
185,COBB,185,"It can. You just have to go deep
enough."
186,ARTHUR,186,You don't know that!-
187,COBB,187,I've done it before.
188,ARTHUR,188,Did it work?
189,COBB,189,Yes.
190,ARTHUR,190,Who did you do it to?
191,ARTHUR,191,So why are we headed to Paris?
192,COBB,192,"We're going to need a new
architect."
193,COBB (O.S.),193,You never did like your office.
194,MILES,194,"No space to think in that broom
cupboard."
195,MILES,195,Is it safe for you to be here?
196,COBB,196,"Extradition between France and the
U.S. is a bureaucratic nightmare."
197,MILES,197,"I think they'd find a way to make
it work in your case."
198,COBB,198,"Can you take these back for the
kids?"
199,MILES,199,"It'll take more than the occasional
stuffed animal to convince those
children they still have a father."
200,COBB,200,"I know. I thought you could talk to
Marie about bringing them on
vacation. Somewhere I could meet-"
201,MILES,201,Why would she listen to me?
202,COBB,202,You were married for twenty years.
203,MILES,203,She blames me as much as you.
204,COBB,204,"Doesn't she understand that my kids
need me?"
205,MILES,205,"Yes, she does. We all do. Go back
and face the music, Dom. Explain
what Mal did."
206,COBB,206,"Be realistic, Stephen. They'd never
understand- they'd lock me up and
throwaway the key. Or worse."
