,character,line #,line
121,CONOR,121,"If you send me away now, Mara,
I'll not come looking for you."
122,MARA,122,Do what you must.
123,RECEPTIONIST,123,"Mrs. Thompson agreed to settle for
fifteen, Melvin's wants to make a
pick-up at three o'clock, the coffee
machine's broken, and there's a
Miss Cartwright from the Smithsonian
in your office."
124,BRENNA,124,Do you play?
125,TAUPIN,125,Yes.
126,BRENNA,126,Very traditional.
127,TAUPIN,127,"Miss Cartwright, what is it I can
do for you?"
128,BRENNA,128,"I'd like to ask you about the
claymore."
129,TAUPIN,129,It's not mine.
130,BRENNA,130,"It's quite rare you know, some-
thing so common in its time so
well looked after all these years."
131,TAUPIN,131,"Miss Cartwright, unless you have
come here to sell the sword,
there's very little I can help
you with.  Now if you will excuse
me, I have a great deal of work
to do."
132,BRENNA,132,Byzantine?
133,TAUPIN,133,Basil the II.
134,BRENNA,134,"Charming guy, Basil.  Once after
beating an army of Serbians he
blinded all but-"
135,TAUPIN,135,"-All but one out of a hundred, I
know.  All left to be led like
donkeys back home.  Now if you will
please-"
136,BRENNA,136,Good reflexes.
137,TAUPIN,137,"Good day, Miss Cartwright."
138,BRENNA,138,I don't believe him.
139,SUPERVISOR,139,Why?
140,BRENNA,140,"He's too cool.  Too sharp.  I
think he's got something to
do with it."
141,RESEARCHER #1,141,"Oh, has your penetrating research
on 9th Century Lithuanian dildos
suddenly made you an expert on the
criminal mentality?"
142,BRENNA,142,"Screw off, Larry."
143,RESEARCHER #2,143,"The cops bought it.  They let him
go."
144,BRENNA,144,"What could they hold him for?  I
think they're just waiting for
something concrete before they
haul him in for real.  We should
look into it.  He had to have
gotten that sword from somewhere."
145,SUPERVISOR,145,"Hang on a sec, you did your little
favor for the boys downtown, I'm
sure your uncle and the rest are
perfectly capable of taking it
from here."
146,BRENNA,146,"I've seen nobleman swords that
weren't as well preserved.  It's
just a hunk of peasant iron.  Why
would he be carrying it around
in an alley?"
147,RESEARCHER #1,147,"Here we go.  Everytime there's a
murder in town we have to put up
with junior D.A."
148,RESEARCHER #2,148,Must be genetic.
149,BRENNA,149,"Someone should check him out.
Maybe a collection somewhere
got knocked over.  He has one,
he might have two."
150,SUPERVISOR,150,"You see that desk?  _Your_ desk?  You see
the crap piled up on it?"
151,BRENNA,151,"Give it a rest Ned, huh?"
152,RESEARCHER #2,152,"Might be interesting to see what
his family connections are.  That's
a hell of a piece to be just chuck-
ing around in an alley."
153,SUPERVISOR,153,"I swear to God Brenna, between you
and Thompson's novels I'm going to
get a bloody ulcer."
154,CONOR,154,"Evening, Douglas."
155,DOUGLAS,155,Conor.
156,CONOR,156,Ale suits me.
157,TAVERN MAN #1,157,"We rather you not be sitting with
us, Conor."
158,TAVERN MAN #2,158,We be drinking alone as well.
159,CONOR,159,What's wrong with you all?
160,TAVERN MAN #2,160,Requiem acer'nam donaei-
161,CONOR,161,What are you doing man?
162,TAVERN MAN #2,162,-Et lux perpetua-
163,CONOR,163,"You'll not be bringing the church
into this."
164,TAVERN MAN #2,164,-Luceat ei-
165,CONOR,165,Be quiet.
166,TAVERN MAN #2,166,-Auditorium nostrum-
167,CONOR,167,Stop.
168,TAVERN MAN #2,168,-In nomine sanctus esperitu-
169,CONOR,169,Stop!
170,MOTHER,170,Please take care of yourself.
171,CONOR,171,Aye.
172,FATHER,172,I wish there was some other way.
173,FATHER,173,"Goodbye, Conor."
174,CONOR,174,Goodbye.
175,DESK OFFICER,175,This is against the rules.
176,BRENNA,176,"So's playing choo-choo with two
high school cheerleaders in the
middle of-"
177,DESK OFFICER,177,-Okay okay.
178,BRENNA,178,"You owe me.  Besides, I'm cute."
179,DESK OFFICER,179,"Taupin, Richard Marshall.  Born
March 16, 1945 in Church Hill,
Maryland.  Received first driver
permit 1967 in Philadelphia."
180,BRENNA,180,"Church Hill, that's pretty close,
isn't it?"
181,DESK OFFICER,181,Anything in Maryland is close.
182,TAUPIN,182,Where is he?
183,TAUPIN,183,Where!
184,INTRUDER,184,I don't know.
185,TAUPIN,185,What name is he using?
186,INTRUDER,186,Smith.  Carl Smith.
187,TAUPIN,187,How many came?
188,INTRUDER,188,The last four.
189,TAUPIN,189,And the Bulgarian?
190,INTRUDER,190,He got him.
191,INTRUDER,191,He always does.  Eventually.
192,TAUPIN,192,He knows I'm here.  How?
193,INTRUDER,193,"None of this would be happening
if you hadn't run..."
194,TAUPIN,194,_Answer_ me.
195,INTRUDER,195,"We learned he'd found the immigration
notaries in Liverpool and traced them
to New York.  Then he figured out the
birth records in Church Hill..."
196,BRENNA,196,Taupin...Taupin...
197,BRENNA,197,"Tarmin...Tatum...Taupin, Richard
Marshall.  Born to William and
Karen Taupin, no address.  Attend-
ing physician, Dr. Willis Kidell."
198,KIDELL,198,"1945, that strains the memory."
199,KIDELL,199,"Here we are, Richard Taupin."
200,KIDELL,200,Would you like more tea?
201,BRENNA,201,"No thank you, I'm fine."
202,KIDELL,202,He was unsual.
203,BRENNA,203,Why?
204,KIDELL,204,"Well, this is a small town, and
it was even smaller then.  Most
all the babies I delivered were
from local families.  Richard's
parents were just passing through
when his mother's time came.  I
did it right here at the house."
205,BRENNA,205,"Then you didn't know Richard
later on."
206,KIDELL,206,No.
207,BRENNA,207,"I've been trying to find somebody
who knew him and any connections
his family might have had with
museums or historical societies."
208,KIDELL,208,"Don't know about any of that.
Suppose nobody does."
209,BRENNA,209,I don't follow you.
210,KIDELL,210,"Poor little tyke didn't have a
chance.  Hopelessly premature.  He
died a few days after he was born."
211,BRENNA,211,The boy _died_?
212,KIDELL,212,"Mother too.  Sad case it was.  The
young lady just couldn't make it
through labor.  Never even saw her
son."
213,KIDELL,213,"My brother worked for the town
paper at the time.  He took this
picture of the funeral."
214,BRENNA,214,"Have you spoken to anyone else
about this?"
215,KIDELL,215,"There was this one fella.  Asked
a lot of questions.  I was out
of town but I heard he spent near
a full day in the records office."
216,BRENNA,216,Would you remember his name?
217,KIDELL,217,Carl Smith.
218,OFFICER,218,Just tell us when you see the one.
219,UNCLE JOE,219,Forget it.
220,BRENNA,220,I'm just curious.
221,UNCLE JOE,221,"You're never ""just curious""."
222,UNCLE JOE,222,"You've met my neice, Brenna."
223,ASSISTANT,223,Hi Brenna.
224,OFFICER,224,"Number 5, lift your coat up more."
225,UNCLE JOE,225,"Aren't you getting a little old for
this?  You flunked out of law school."
226,BRENNA,226,Now there's a new topic.
227,UNCLE JOE,227,"Don't they have enough for you to
do at the castle?"
228,UNCLE JOE,228,"Forgers do it all the time.  They
take the birth certificate of some-
one who died young and use it to
get legit I.D.  Usually they carry
it long enough to pass some bad
checks then dump it."
229,BRENNA,229,Thanks.
230,UNCLE JOE,230,Call your mother.  You never call her.
231,OFFICER,231,Well?
232,OLD LADY,232,"I don't know.  I'd have to see his
thing."
233,BRENNA,233,"I can't figure out why he's doing it.
He's been Richard Taupin at least
since 1967.  And the guys rich.  You
should see the stuff he has in that shop."
234,DENNIS,234,Maybe he's hiding from something.
235,BRENNA,235,"Some guy named Smith was asking
about him in Church Hill.  I passed
his name around with your buddies
downtown but they drew a blank.  So
he isn't a cop.  District anyway."
236,DENNIS,236,"Probably just some exec ducking
an ex-wife."
237,BRENNA,237,"Dr. Kidell had a picture in his
file of the funeral.  The father
looked just like Richard.  Even had
a mark on his cheek."
238,DENNIS,238,How old is Richard?
239,BRENNA,239,"P.D. says 41, but he barely looks
30."
240,DENNIS,240,"Find the father.  That should clear
things up."
