,character,line #,line
80,BIGGS,80,"My friend has a friend on Bestine
who might help us make contact."
81,LUKE,81,"You're crazy! You could wander around
forever trying to find them."
82,BIGGS,82,"I know it's a long shot, but if I
don't find them I'll do what I can
on my own... It's what we always
talked about. Luke, I'm not going to
wait for the Empire to draft me into
service. The Rebellion is spreading
and I want to be on the right side --
the side I believe in."
83,LUKE,83,And I'm stuck here...
84,BIGGS,84,"I thought you were going to the
Academy next term. You'll get your
chance to get off this rock."
85,LUKE,85,"Not likely! I had to cancel my
application. There has been a lot of
unrest among the Sandpeople since
you left... they've even raided the
outskirts of Anchorhead."
86,BIGGS,86,"Your uncle could hold off a whole
colony of Sandpeople with one blaster."
87,LUKE,87,"I know, but he's got enough vaporators
going to make the place pay off. He
needs me for just one more season. I
can't leave him now."
88,BIGGS,88,"I feel for you, Luke, you're going
to have to learn what seems to be
important or what really is important.
What good is all your uncle's work
if it's taken over by the Empire?...
You know they're starting to
nationalize commerce in the central
systems... it won't be long before
your uncle is merely a tenant, slaving
for the greater glory of the Empire."
89,LUKE,89,"It couldn't happen here. You said it
yourself. The Empire won't bother
with this rock."
90,BIGGS,90,Things always change.
91,LUKE,91,"I wish I was going... Are you going
to be around long?"
92,BIGGS,92,"No, I'm leaving in the morning..."
93,LUKE,93,Then I guess I won't see you.
94,BIGGS,94,Maybe someday... I'll keep a lookout.
95,LUKE,95,"Well, I'll be at the Academy next
season... after that who knows. I
won't be drafted into the Imperial
Starfleet that's for sure... Take
care of yourself, you'll always be
the best friend I've got."
96,BIGGS,96,"So long, Luke."
97,THREEPIO,97,Artoo-Detoo! It's you! It's you!
98,FIRST TROOPER,98,"Someone was in the pod. The tracks
go off in this direction."
99,SECOND TROOPER,99,"Look, sir -- droids."
100,THREEPIO,100,Wake up! Wake up!
101,THREEPIO,101,We're doomed.
102,THREEPIO,102,Do you think they'll melt us down?
103,THREEPIO,103,"Don't shoot! Don't shoot! Will this
never end?"
104,BERU,104,"Luke, tell Owen that if he gets a
translator to be sure it speaks Bocce."
105,LUKE,105,"It looks like we don't have much of
a choice but I'll remind him."
106,OWEN,106,I have no need for a protocol droid.
