,character,line #,line
77,HENESSEY,77,"Hey, you go ahead, um... hope you
like the present."
78,TODD,78,"It's awesome, Dad. Mom, though, she..."
79,TODD,79,"She gets weird. On my birthday, when
you gave me the Schwinn... she called
bicycle stores to see if there'd
been any robberies."
80,HENESSEY,80,Tell her I don't steal them locally.
81,HENESSEY (V.O.),81,"Dear Ma: Filled out the child support
stuff last week. Office got pissed,
under ex-spouse I put ""Spawn of Satan,
Dweller in Eternal Dark."" Just being
honest, Ma, lady wants me to die."
82,HENESSEY (V.O.),82,"I'd go without a ripple, that's the
truth. Ex-con. Ex-husband. Expired.
Thanks, Ma, for hiding the truth
from me for so long. Or maybe you
believed in me. I miss you. I hope
you believed, even for a day. No one
did, Ma. No one at all. It's cold
here. I'm sorry you're dead. Your
son, Mitch."
83,HENESSEY,83,Me. What's up?
84,TRIN (O.S.),84,"Mitch, we got a bite on amnesia
chick's photo. Found a guy remembers
seeing her, fall of '87. He wants
cash, should I grease him?"
85,HENESSEY,85,"Hell, no! Use your head, girl. Let
the fucker squeeze the Charmin."
86,TRIN,86,"You kidding? Guy's hideous. I'll do
it, but we're talking time and a
half. Plus a night on the town when
I get back, and *no cockfights this
time*."
87,SAMANTHA,87,"I want a cigarette, why do I want a
cigarette...?"
88,SAMANTHA,88,What... what do you want...?
89,REFLECTION,89,I want a cigarette.
90,SAMANTHA,90,I don't smoke.
91,REFLECTION,91,You used to.
92,REFLECTION,92,"Relax, you can drop the act. Nice
and smooth, take another hit. There
you go. See how easy it comes back?"
93,REFLECTION,93,"*I'm* coming back. You know that,
don't you? Name's Charly, by the
way. You're gonna love me."
94,HAL,94,"Honey, you can't cook, I'm not wrong
about this."
95,SAMANTHA,95,"I'm *remembering*, Hal. Things are
coming back. Trust me, I'm a chef, I
know it."
96,CAITLIN,96,"Daddy, make her stop!"
97,SAMANTHA,97,"Hush. Go to the garage and get me
something, anything. A veggie, go,
man, go! I'm hot to trot."
98,HAL,98,Tomato.
99,CAITLIN,99,Tomato.
100,HAL,100,"Onion, flying in."
101,SAMANTHA,101,More. Faster.
102,CAITLIN,102,Tomato. Tomato. Tomato.
103,SAMANTHA,103,Uh... chefs do that.
104,MAN,104,"Please, man... I don't know why you
gotta kill me... But use the gun,
not the knife. Please. As a fucking
favor, I'm begging you..."
105,TIMOTHY,105,It'll be over soon.
106,MAN,106,"Jesus, man... I... I'm scared of the
knife... Shit, I can't handle getting
shots at the doctors, man, PLEASE...!"
107,TIMOTHY,107,"Last chance. What do you know about
a town called Santa Claus?"
108,MAN,108,"What is this, *what the fuck is
this*?? I'm FBI, for Chrissake, you
can't do this to me. I don't know
ANYTHING."
109,TIMOTHY,109,No. You don't.
110,TIMOTHY,110,"I can always tell, you know... If
someone's lying to me. A little skill
of mine, something to trot out at
parties."
111,TIMOTHY,111,Timothy.
112,VOICE (O.S.),112,Message from Mr. Daedalus.
113,TIMOTHY,113,I'm listening.
114,VOICE (O.S.),114,"He says he's sorry, but he needs you
right away. Something's come up."
115,TIMOTHY,115,"Nix. I'm just finishing up here.
Then I'm going bunjee jumping."
116,VOICE (O.S.),116,"He's aware of your weekend plans,
and he apologizes."
117,TIMOTHY,117,"All right, what's so fucking
important?"
118,VOICE (O.S.),118,"Your old colleague, One-Eyed Jack...?
Recently escaped from a high-security
prison, as you're aware. But listen
to this: prior to his escape, seems
he saw something on TV that disturbed
him. So much he had to be sedated."
119,TIMOTHY,119,"I saw it, too. It's called ""Empty
Nest."" How the fuck is it my business?"
120,VOICE (O.S.),120,"The man was overheard talking to
himself under sedation."
121,VOICE (O.S.),121,"He said Charly Baltimore's alive,
sir."
122,SUIT,122,"I know it's incredible, sir, but...
if she were alive, I'm thinking she
might be in contact with the old man
in Pennsylvania. Should I --"
123,TIMOTHY,123,"Tap his phone, yes. And tell Daedalus
I'm on my way. Timothy out."
124,SAMANTHA,124,They were on sale.
125,CANADIAN #1,125,"Ooh, j'aimerais la baiser. (Subtitle:
I'd like to fuck her.)"
126,CHECKER,126,"Don't you love hearing people speak
French?"
127,CANADIAN #2,127,"Oui, j'veux etirer celle-la autour
d'une chaise. Comme je le vois, une
femme c'est comme Gumby avec des
seins. (Subtitle: I'll stretch her
over a chair, women are merely Gumbys
with tits.)"
128,HAL,128,Beautiful language.
129,SAMANTHA,129,"*Allez, Gumby etiriait le cou, fils
de pute*."
130,SAMANTHA,130,I speak French.
131,PSYCHIATRIST,131,You do.
132,SAMANTHA,132,"You bet your life, fluent French,
whatever the fuck that means."
133,SAMANTHA,133,"Quand j'étais a l'ecole, Jai eu un
professeur qui s'est fabriqué du
dentifrice!"
134,PSYCHIATRIST,134,"You just said when you were in school,
your teacher was made of toothpaste."
135,SAMANTHA,135,"Right, he was, you got a problem
with that? Pasty Joe, we called him.
Look, the accent's perfect, so piss
off. I'M A FRENCH CHEF, YA-HOO."
136,CAITLIN,136,Put Perkins in the basket. He's luck.
137,SAMANTHA,137,"Mr. Perkins, going in the basket."
138,CAITLIN,138,Are the training wheels off?
139,SAMANTHA,139,"Just pretend they're still there.
Piece of cake. You can do it."
140,CAITLIN,140,Wait...! I'm scared.
141,SAMANTHA,141,"Shhh. Nothing to be scared of. Pretend
you're one of the X-men, you're tough.
Let's go, now. Three, two, one..."
142,CAITLIN,142,"Mom, I can't do it, swear --"
143,CAITLIN,143,"Ouch--! I can't do it, it HURTS-!"
144,SAMANTHA,144,"Nonsense. You can do it. You don't
want to, but you can."
145,CAITLIN,145,"My arm hurts, please take me home...!"
146,SAMANTHA,146,"You can go home, Caitlin. You can
ride there."
147,CAITLIN,147,"Mom, no...!"
148,SAMANTHA,148,"Look, I know you're afraid, that's
the whole *point*, can you see that?
Now stop being a little baby and get
on the damn bike."
149,SAMANTHA,149,"You gonna be afraid of things all
your life? Huh? That what you want?"
150,CAITLIN,150,My wrist hurts...!
151,SAMANTHA,151,"Life is pain. Get used to it. See,
you *will* ride this bike home,
princess. You will ride it and you
will not fall again, *is that
understood*...?"
152,SAMANTHA,152,"Yes, I'm three blocks past the gas
station... Right. Thank you Mr.
Henessey, I'll see you shortly."
153,HAL,153,"She rode all the way home. She didn't
fall, not once. She didn't cry."
154,HAL,154,"You're good. You should work with
kids, you know that?"
155,SAMANTHA,155,"She said her wrist hurt. I didn't
know it was broken, God. I can't
even remember what I said to her...!"
156,HAL,156,"We can still make six o'clock mass,
you coming?"
157,SAMANTHA,157,"A private detective's coming by,
he... he's found something."
158,SAMANTHA,158,"I may have to go away. For a bit.
Now please leave me alone."
159,HAL,159,"Go away. With a detective. Jesus,
it's the holidays, Sam --"
160,SAMANTHA,160,"Are you deaf? I said leave me alone.
Go to church. Drink blood. Drink
some for me."
161,ONE-EYED JACK,161,Evening Charly. Long time.
162,CAITLIN,162,Mommy...!
163,SAMANTHA,163,GET OUUTTTTT!!!!
164,SAMANTHA,164,NO!!!!
165,ONE-EYED JACK,165,"I want my eye back, bitch."
166,ONE-EYED JACK,166,"Goddamn you. Fight me. What's wrong
with you, *fight* me!"
167,SAMANTHA,167,"It took me three seconds. That's...
that's good, huh...?"
168,SAMANTHA,168,Caitlin. We gotta find Caitlin.
169,HENESSEY,169,"Hey--! Slow down. The kid's okay,
she's in my car, what the hell is
going on?"
170,SAMANTHA,170,"That man who tried to hurt us...? If
I stay here... other people will
come. I have to leave. Just for a
little while."
171,SAMANTHA,171,"I want you to light a candle and
keep it in the kitchen window. And
never, *ever* let it go out, because
as long as it burns...? It means
you're thinking of me. And if I'm
alone... if it's dark and I'm lost...
It's how I'll find my way home."
172,SAMANTHA,172,"That's for a portable phone. I keep
it with me, you call me anytime, you
don't worry about the bill. And last
but not least --"
173,SAMANTHA,173,For luck.
174,HAL,174,"No matter what you find, I'm not
scared. Not of you. Not ever..."
175,SAMANTHA,175,"""Movin' in."""
176,HENESSEY,176,Hah?
177,SAMANTHA,177,"It's not linen. The song's not about
linen."
178,HENESSEY,178,Whatever. You cold?
179,SAMANTHA,179,I'm freezing.
180,HENESSEY,180,"Turn on the heater. It doesn't work,
but it makes a very annoying noise
which distracts from the cold."
181,SAMANTHA,181,I'll pass.
182,SAMANTHA,182,"So, you're a former cop. Atlanta,
was it...? Stop me if I'm out of
line, but I'm curious. How did you...
well, succeed? I mean, where six
other detectives failed?"
183,HENESSEY,183,"You kidding? Pure luck. Plus my
secretary used her feminine wiles.
She's got two, one wile per side.
Huge. No kidding, you can see 'em
coming around a corner, you got time
to comb your hair. Nice kid, you'd
dig her."
184,HENESSEY,184,Ah. Here we are.
185,HENESSEY,185,"Putting my glasses in my cooooat..."""
186,HENESSEY,186,"I sing what I do so I'll remember
it. ""Turning off the downstairs
liiiight..."" You know?"
187,WALRUS MAN,187,"The elder Trelawney rented to her in
'87, aye. Ne'er could bring himself
to dispose of her things. I'faith,
she's welcome to whatsoe'er she
wishes, for ne'er has trod these
walls a lass so easy on the eye,
divil take me if I'm lyin'."
188,HENESSEY,188,"Do me a favor. Say, ""Always after me
Lucky Charms."""
189,ANGUS,189,"""Always after me Lucky Charms."""
190,HENESSEY,190,Thanks. Just needed to hear that.
191,HENESSEY,191,See anything you recognize?
192,SAMANTHA,192,"Yeah, this dirt used to be outside
my window, shut up and let me look."
193,SAMANTHA,193,"I'm sorry, Mr. Henessey, I'm a little
on edge."
194,SAMANTHA,194,I can feel her. Like a ghost.
195,SAMANTHA,195,"We could walk away, you know. There's
still time, we could just... leave
her dead."
196,SAMANTHA,196,Ay-i-yi!
197,SAMANTHA,197,"Size four, no way. You know how long
it's been since I could wear a size
four?"
198,SAMANTHA,198,Can't be mine. Can they...?
199,HENESSEY,199,"Unmailed envelope. Addressed to a
guy."
200,SAMANTHA,200,What's in it?
201,HENESSEY,201,"Another guy's address. Two addresses,
is basically what I'm saying."
202,HENESSEY,202,Anything else in there?
203,SAMANTHA,203,"Hmm...? Uh, no. Just... more clothes."
204,HENESSEY,204,"Yeah, well take a look at this."
205,NATHAN,205,"Alice, please...?"
206,NATHAN,206,"Your dog, Alice. It and my appetite
are mutually exclusive."
207,ALICE,207,What's wrong with the dog?
208,NATHAN,208,"It's simple. He's been licking his
asshole for three straight hours. I
submit to you that there's nothing
there worth more than an hour's
attention, and I should think whatever
he's attempting to dislodge is either
gone for good or there to stay.
*Wouldn't you agree*?"
209,NATHAN,209,Hello?
210,SAMANTHA (O.S.),210,"Hello, Mr. Windeman, I got this number
from a realtor in Pennsylvania. I'd
like to speak with you."
211,NATHAN,211,Who... who is this?
212,SAMANTHA,212,"You tell me, Mr. Windeman."
213,NATHAN,213,...Charly...?
214,SAMANTHA (O.S.),214,"My full name, please."
215,NATHAN,215,"God, it really is you...!? Chapter,
they think you're dead, *everyone*
thinks --"
216,SAMANTHA,216,*My full name*. Please...!
217,NATHAN,217,You don't know your name.
218,NATHAN,218,"Your full name... is Charlene
Elizabeth Baltimore."
