,character,line #,line
75,SIMPSON,75,Yeah.  What?
76,LYDECKER,76,"There's a guy on the horn,
mom-and-pop survey team.  Says
he's homing on something and
wants to know if his claim will
be honored."
77,SIMPSON,77,"Christ.  Some honch in a cushy
office on Earth says go look at
a grid reference in the middle
of nowhere, we look.  They don't
say why, and I don't ask.  I
don't ask because it takes two
weeks to get an answer out here
and the answer's always 'don't
ask.'"
78,LYDECKER,78,So what do I tell this guy?
79,SIMPSON,79,"Tell him, as far as I'm concerned,
he finds something it's his."
80,JORDEN,80,"Look at this fat, juicy magnetic
profile.  And it's mine, mine,
mine."
81,ANNE,81,"Half mine, dear."
82,NEWT,82,And half mine!
83,JORDEN,83,I got too many partners.
84,NEWT,84,"Daddy, when are we going back
to town?"
85,JORDEN,85,"When we get rich, Newt."
86,NEWT,86,"You always say that.  I wanna go
back.  I wanna play 'Monster Maze.'"
87,TIM,87,You cheat too much.
88,NEWT,88,Do not.  I'm just the best.
89,TIM,89,"Do too!  You go in places we
can't fit."
90,NEWT,90,So!  That's why I'm the best.
91,ANNE,91,"Knock it off!  I catch either of
you playing in the air ducts again
I'll tan your hides."
92,NEWT,92,Mom.  All the kids play it...
93,JORDEN,93,Holy shiiit!
94,JORDEN,94,"Folks, we have scored big this
time."
95,ANNE,95,"You kids stay inside.  I mean
it!  We'll be right back."
96,ANNE,96,Shouldn't we call in?
97,JORDEN,97,"Let's wait till we know what to
call it in as."
98,ANNE,98,How about 'big weird thing'?
99,TIM,99,Cheater!
100,NEWT,100,"Timmy...they've been gone a
long time."
101,TIM,101,"It'll be okay, Newt.  Dad knows
what he's doing."
102,ANNE,102,"Mayday!  Mayday!  This is
Alpha Kilo Two Four Niner
calling Hadley Control.
Repeat.  This is..."
103,VOICE FROM VIDEO,103,"Hey, Bob!  I heard you and the
family are heading off for the
colonies!"
104,BON,104,"Best decision I ever made, Bill.
We'll be starting a new life
from scratch, in a clean world.
No crime.  No unemployment..."
105,BURKE,105,"Hi, Ripley.  This is
Lieutenant Gorman of the..."
106,BURKE,106,Ripley we have to talk.
107,BURKE,107,"They've lost contact with the
colony on Acheron."
108,RIPLEY,108,No.  There's no way!
109,BURKE,109,Hear me out...
110,RIPLEY,110,"I was reamed, steamed and
dry-cleaned by you guys...and
now you want me to go back out
there?  Forget it."
111,BURKE,111,"Look, we don't know what's going
on out there.  It may just be a
down transmitter.  But if it's
not, I want you there...as an
advisor.  That's all."
112,GORMAN,112,"You wouldn't be going in with the
troops.  I can guarantee your
safety."
113,BURKE,113,"These Colonial Marines are
some tough hombres, and they're
packing state-of-the-art firepower.
Nothing they can't handle...right,
Lieutenant?"
114,GORMAN,114,"We're trained to deal with these
kinds of situations."
115,RIPLEY,115,"What about you?  What's your
interest in this?"
116,BURKE,116,"Well, the corporation co-financed
that colony with the Colonial
Administration, against mineral
rights.  We're getting into a lot
of terraforming...'Building Better
Worlds.'"
117,RIPLEY,117,"Yeah, yeah.  I saw the commercial."
118,BURKE,118,"I heard you were working in the
cargo docks."
119,RIPLEY,119,That's right.
120,BURKE,120,"Running loaders, forklifts, that
sort of thing?"
121,RIPLEY,121,"It's all I could get.  Anyway,
it keeps my mind off of...
everything.  Days off are worse."
122,BURKE,122,"What if I said I could get you
reinstated as a flight officer?
And that the company has agreed
to pick up your contract?"
123,RIPLEY,123,If I go.
124,BURKE,124,If you go.
125,BURKE,125,"It's a second chance, kiddo.  And
it'll be the best thing in the
world for you to face this fear
and beat it.  You gotta get back
on the horse..."
126,RIPLEY,126,"Spare me, Burke.  I've had my
psych evaluation this month."
127,BURKE,127,"Yes, and I've read it.  You
wake up every night, sheets
soaking, the same nightmare
over and over..."
128,RIPLEY,128,"No!  The answer is no.  Now
please go.  I'm sorry.  Just
go, would you."
129,BURKE,129,Think about it.
130,BURKE,130,"Yello?  Oh, Ripley.  Hi..."
