,character,line #,line
313,RACHEL,313,Dad. That's not how it goes.
314,RAY,314,"Okay, well, you hungry, huh? I'll get
you some food. I'm gonna feed you. Get
something to eat.  (digs into the box)
What do we have here??"
315,ROBBIE,315,".. Busy signals, one of the fast ones....
You think all the circuits are down?"
316,RAY,316,"(continues) Ketchup, Mustard, Ahh, Tabasco,
Barbeque Sauce. This is really good
Robbie. Vinaigrette. I said pack food.
What... What the hell is this?"
317,ROBBIE,317,That's all that was in your kitchen.
318,RAY,318,"Okay. No, it's all right, it's all right."
319,RAY,319,"Uh, food... Uh, bread... (getting the
bread) okay, we're gonna have... umm....
We'll just get some sandwiches."
320,RAY,320,"You ever see me deal? Wanna see me deal?
Okay, there's two for you, two for Robbie,
two for me, (he has one extra in his
hand) ...one for the house. (laughs)"
321,RAY,321,"Maybe after we get done eating, I will
take you down, teach you how to play
some poker. A little five card stud...
a little blackjack..."
322,RACHEL,322,I'm allergic to peanut butter.
323,RAY,323,(laughs) Since when?
324,RACHEL,324,(with a snotty look) Birth!
325,RAY,325,"Okay, well, umm, here (hands her two
pieces of bread) You can eat the bread.
Okay?"
326,RACHEL,326,I'm not hungry.
327,RAY,327,"Okay, well. Robbie and I are going to
be eating peanut butter sandwiches.
(to Robbie) You want jelly on this sandwich?"
328,ROBBIE,328,I'm not hungry either.
329,RAY,329,"You're not hungry either? Well, that's
fine."
330,RAY,330,"Everybody just relax, okay? Because
we are here now and we're safe, and
we're gonna stay.  And in the morning
your mom and Tim are going to be here
and everything's gonna be fine. Okay?
(no responses) Okay."
331,RACHEL,331,"If everything's fine, why do we have
to sleep in the basement. We've got
perfectly good beds."
332,RAY,332,It's like a slumber party.
333,ROBBIE,333,"What are you afraid is gonna happen
to us?"
334,RAY,334,"(walks over to the weight room corner
of the basement) Nice basement."
335,RACHEL,335,"I want to sleep in my bed. I've got
back problems."
336,RAY,336,"Okay. You know on the Weather Channel
when there's a tornado, and they tell
you to go to the basement for safety?
It's like that."
337,RACHEL,337,There's gonna be tornadoes?
338,RAY,338,"Rachel, no more talking."
339,RACHEL,339,Could you be a little nicer to me. God!
340,ROBBIE,340,Wanna stay here?
341,RACHEL,341,"Yeah. Good night, love you."
342,ROBBIE,342,"Love you, Rache."
343,RACHEL,343,Is the lighting back?
344,RAY,344,"No, this is something else..."
345,ROBBIE,345,(screams) AHHHH... WHAT'S THAT SOUND?
346,RAY,346,I NEVER HEARD THAT BEFORE!!!
347,RACHEL,347,IS IT THEM!!! IS IT THEM!!!
348,RAY,348,"WE GOTTA GO!! WHERE DO WE GO??? ROBBIE,
THIS IS YOUR HOUSE, WHERE DO WE GO??"
349,RAY,349,WAIT!! WAIT!! WAIT!! WAIT!!
350,RACHEL,350,Are we still alive?
351,RAY,351,Down here!
352,RAY,352,Were you on this plane? Are you a passenger?
353,MAX (NEWS CAMERA OPERATOR),353,"Hey, how you doing? Wanna help me open
this?"
354,RAY,354,Are you a passenger?
355,NEWS REPORTER,355,"He's deaf. The shell went off right
beside him. The camera on his shoulder
saved his life. (to Max) You hear that
Max? Your stupid camera saved your stupid
life."
356,RAY,356,Where were you?
357,NEWS REPORTER,357,"Out there in the pine barrens. We were
attached to a National Guard unit, the
83rd Mechanized. They moved to one of
those things around midnight. They've
got some kind of shield around them.
We can't see it, but everything we fire
at them detonates too early before we
can get close enough to cause any damage.
When they flash that thing, everything
lights up like Hiroshima."
358,RAY,358,There's more than one?
359,REPORTER,359,You gotta be kidding me right?
360,REPORTER,360,"We were feeding New York but New York
went dark. So we patched over to D.C.,
they went down, L.A., Chicago, uplink
to London. Even called the affiliates
to try and get them to catch the feed,
but nobody answered."
361,REPORTER,361,"It's the same everywhere. Once the tripods
start to move, no more news comes out
of that area."
362,RAY,362,"Oh, my god!"
363,REPORTER,363,You ain't seen nothing yet.
364,RAY,364,"I saw that storm. I was right in the
middle of one of those."
365,REPORTER,365,"No, you didn't see it like this. Those
machines come up from under the ground,
right? That means they must have been
buried there a long time ago. So who's
driving the god damn things? (pointing
to the monitor) Watch the lightning.
Watch it..... Watch the lighting....."
366,RAY,366,What is that?
367,REPORTER,367,"That is them. They come down in capsules,
riding the lighting into the ground
into the machines right?"
368,DRIVER,368,"You hear that? We're getting the hell
out of here."
369,DRIVER,369,Come on! Get in! Get in! Get in!
370,REPORTER,370,Hey. Were you on that plane?
371,REPORTER,371,"Oh, that's too bad, it would have been
a really great story."
372,RAY,372,Look at me. Look at me.
373,RAY,373,"You keep your eyes only on me, you understand?"
374,RAY,374,"Don't look down, don't look around me.
I'm taking you to the car and you're
gonna want to look around. But you are
not going to, are you?"
375,RAY,375,"You're doing good. You're doing good.
Keep your eyes on me. We'll go right
to Boston, and we're gonna see your
mom."
376,RACHEL,376,"I'm not gonna look, dad."
377,RAY,377,"That's a girl. That's my girl.  Okay,
listen, I want you to close your eyes.
Got them closed?"
378,RACHEL,378,Um-Huh.
379,RAY,379,There you go. Keep em' closed for me.
380,RAY,380,"Robbie, get in."
381,RAY,381,ROBBIE!! GET IN!!!
382,RACHEL,382,Why are you yelling?
383,RAY,383,"(to Rachel) It's okay. (to Robbie) Get
in!"
384,ROBBIE,384,Why the hell aren't we on the turnpike?
385,RAY,385,"Because I don't want everybody to see
we've got a working car. (going over
the plan) We'll stay along the Hudson
until we find an open bridge or ferry,
then we're gonna cross the Hudson. Then
take the back roads across Connecticut
all the way to Boston."
386,RACHEL,386,Where is everybody?
387,RAY,387,"I don't know. Running, hiding, hiding
in their basements."
388,ROBBIE,388,"If we had any balls, we'd go back there
and find one of those things and kill
it."
389,RAY,389,"Yeah, well, why don't you just let me
make the big decisions, okay?"
390,ROBBIE,390,"Which would be when? Never Ray? Never's
about your speed."
391,RACHEL,391,"Okay, enough Robbie!"
392,RAY,392,"(angrily) Okay! Enough with the Ray
shit!! It's dad, sir, or if you want
Mr. Ferrier. That sounds a little weird
to me but you decide."
393,RACHEL,393,Dad?!?!
394,RAY,394,"Yes, Rachel."
395,RACHEL,395,I have to go to the bathroom.
396,RAY,396,Really?
397,ROBBIE,397,"Come on. (tugs at his shirt sleeve which
Ray has a hold of) I gotta go!"
398,RAY,398,"Not so fast, not so fast, all right?
Now, there are two things we have to
watch out for, and the second is people
who might want our car."
399,ROBBIE,399,There's nobody around!
400,RACHEL,400,I gotta go.
401,RAY,401,"(displeased) Rachel! Rachel, that's
good right there. (points to a spot
20' away)"
402,RACHEL,402,I'M NOT GOING IN FRONT OF YOU GUYS!
403,RAY,403,"All right, then just go where I can
see you!"
404,RACHEL,404,ARE YOU CRAZY?? DON'T LOOK!!
405,RAY,405,I'm not gonna look! JUST STAY IN SIGHT!!
406,RACHEL,406,THAT'S LOOKING!!
407,RAY,407,"Listen. Every time you don't listen
to me, I'm telling your mother, okay?
I'm making a list. (reinforcing) I'm
making a list!"
408,RAY,408,"I told you to stay where I could see
you!"
409,RACHEL,409,I'm sorry!
410,ROBBIE,410,STOP!! DO YOU HAVE ROOM??? STOP!!!
411,ROBBIE,411,"WAIT, STOP!!! LET ME ON!!! LET ME ON!!!
GIVE ME A HAND!!!"
412,ROBBIE,412,"WAIT!!! STOP!!! GIVE ME A HAND!!! YOU
HAVE ROOM!!!"
413,SOLDIER,413,"Watch it, kid! YOU'RE GONNA GET YOURSLELF
RUN OVER!!!"
414,RAY,414,"WHAT!?!?!  ROBBIE, YOU WANT TO GO IN
THAT DIRECTION?"
415,RAY,415,"THERE'S NOTHING LIVING IN THAT DIRECTION,
ROBBIE!!!"
416,ROBBIE,416,"WHAT DO YOU CARE?!?!? YOU NEVER GAVE
A SHIT BEFORE!!! YOU NEVER GAVE A SHIT!!!"
417,RAY,417,"OKAY, HARD ASS, WHAT'S YOUR PLAN? YOU'RE
IN CHARGE NOW, YOU TELL ME WHAT WE'RE
DOING!!"
418,ROBBIE,418,"WE CATCH UP WITH THESE SOLDIERS, WE
PICK UP WHOEVER ELSE ISN'T DEAD AND
WE GET BACK AT THEM!!! WE GET BACK AT
THEM!! THAT'S WHAT WE DO!!!"
419,RAY,419,"WELL, NOW LET'S TRY ONE THAT DOSEN'T
INVOLVE YOUR TEN YEAR OLD SISTER JOINING
THE ARMY! YOU HAVE ANYTHING LIKE THAT???"
420,ROBBIE,420,WHY DON'T YOU JUST TELL US THE TRUTH???
421,RAY,421,YOU HAVE ANYTHING LIKE THAT!
422,ROBBIE,422,YOU HAVE NO IDEA WHICH WAY TO GO!!
423,RAY,423,YOU HAVE ANYTHING LIKE THAT?!?!?!
424,ROBBIE,424,"YOU WANNA COME OFF ALL WISE AND SHIT!!
YOU ONLY CHOSE BOSTON BECAUSE YOU HOPE
MOM IS THERE AND IF SHE'S THERE, YOU
CAN DUMP US ON HER!!! YOU CAN DUMP US
ON HER THEN YOU'LL ONLY HAVE TO CARE
ABOUT YOURSELF!!! WITCH IS EXACTLY THE
WAY YOU LIKE IT!!!"
425,RACHEL,425,"ROBBIE!!! WHERE ARE YOU TRYING TO GO?!?!
WHAT ARE YOU TRYING TO DO?!?!"
426,RACHEL,426,"WHOE'S GONNA TAKE CARE OF ME IF YOU
GO!!!"
427,RAY,427,"If I close my eyes, why don't you drive
for a bit."
428,ROBBIE,428,I don't have a license.
429,RAY,429,Since when has that stopped you?
430,ROBBIE,430,"Ray. (no response) Ray. (no response)
Dad!"
431,ROBBIE,431,"You think you could.... You think you
could..."
432,RAY,432,"Don't stop... don't take your foot off...
Okay. I got it... I got it...."
433,RACHEL,433,Where's everybody going?
434,RAY,434,I don't know Rach.
435,RACHEL,435,But we do right?
436,RAY,436,"Yeah, we do."
437,RACHEL,437,Why'd he do that?
438,RACHEL,438,Why is he doing that?
439,RAY,439,"He wants a ride. Everybody just wants
a ride."
440,RACHEL,440,Can we give him one?
441,RAY,441,"Just sit back and put on your seatbelt.
Robbie, put on your seatbelt."
442,RAY,442,Put on your seatbelt Rachel.
443,ROBBIE,443,Be careful.
444,RAY,444,"I'm sorry, I can't. Please get away
from the car."
445,RAY,445,HEY!!
446,POLICE MAN 3,446,Stop the car!!
447,RAY AND ROBBIE TOGETHER,447,GET OFF THE CAR!!! GET OFF THE CAR!!!
448,POLICE MAN 3,448,"You could carry 20 people in there!
STOP THE CAR!!!"
449,RAY AND ROBBIE TOGETHER,449,GET OFF THE CAR!!! GET OFF THE CAR!!!
450,RACHEL,450,(screams) AHHHH!!
451,RAY,451,Oh hold on!!
452,ROBBIE,452,Look out! Look out!
453,RAY,453,"(seeing a telephone pole) Oh, GOD!"
454,RAY,454,Are you okay?
455,ROBBIE,455,(screams) AHHHHH!!!! RAY!!!
456,RAY,456,ROBBIE?!?! ROBBIE?!?!?
457,RAY,457,"NO, JUST WAIT!!! WAIT!! STOP!!! JUST
STOP!!!"
458,RACHEL,458,DADDY!!!!
459,RAY,459,Rachel!! (grabs guy) GET OUT OF THERE!!!
460,RACHEL,460,DADDY!!!
461,RAY,461,(grasping his head in pain) AHHH!!!
462,RAY,462,"(through a choking grip) Rachel, get
out of the car! GET OUT OF THE CAR RACHEL!!!"
463,RACHEL,463,DADDY!!!
464,RAY,464,"(pointing the gun at the people on the
roof of the car) GET OFF THE CAR!! GET
OFF!!!"
465,RAY,465,"(continues) GET OFF THE CAR!! Move!!
Move!!"
466,RAY,466,Where's my son?!?!
467,RIOT MAN 1,467,"You don't need that, Man!"
468,RAY,468,"WHERE'S MY SON?!?! ROBBIE!!    ....
ROBBIE!!"
469,RIOT MAN 2,469,"Put the gun down, man. It's not me!"
470,RAY,470,(still determined to find Robbie) ROBBIE!!!
471,RACHEL,471,DAD!!!
472,RIOT MAN 3,472,"Okay, man, now listen. Put down the
gun. I'm taking the car."
473,RAY,473,My daughter's in the car...
474,RIOT MAN 3,474,"(shaking the gun nervously) Put down
the gun, I'm taking the car."
475,RAY,475,All I want is my daughter....
476,RIOT MAN 3,476,PUT DOWN THE GOD DAMN GUN!!!
477,RAY,477,"Please, all I want is my daughter."
478,RIOT MAN 3,478,(surprisingly calm) I'm taking the car.
479,RAY,479,"I just want my daughter. Please just
let me take my daughter, can I.... All
I want is my daughter."
480,RIOT MAN 3,480,"Yeah. Okay, go ahead, take her, take
her, yeah, yeah...."
481,RAY,481,Robbie!!
482,RACHEL,482,Looks like the power's still on here.
483,RAY,483,"Yeah, power's still on because nothing
bad has come up from under the ground."
484,WOMAN,484,"Unless you are O-positive and Rh negative,
thank you but we already have more blood
than we can use. Again... (repeats message)"
485,HARBOR MASTER,485,"Please move forward calmly, the boat
can make more than one trip. Please
move forward calmly, take your time,
don't rush. (repeats)"
486,SHERYL,486,Ray! RAY?!?!
487,RAY,487,Sheryl?
488,SHERYL,488,Yeah.
489,SHERYL,489,"Oh, my gosh, are these your kids?"
490,RAY,490,"Yes, this is Rachel."
491,SHERYL,491,"Hi, I'm Sheryl, this is my daughter,
Nora."
492,RAY,492,"Hi, I've heard about you, Nora."
493,RAY,493,"This is my son, Robbie."
494,ROBBIE,494,Hi Sheryl.
495,SHERYL,495,He's just like dad.
496,SHERYL,496,How you doing? You look like shit.
497,RACHEL,497,(to herself) The trees are funny.
498,HARBOR MASTER,498,"We're gonna move some cars out of the
way to make more space. Give us a few
minutes."
499,CAPTAIN,499,CAST OFF!!! GET THAT RAMP UP!!!
500,HARBOR MASTER,500,"CAST OFF NOW!!! GET THAT RAMP UP!!!
(to soldiers) No more people! No more
people! We're taking the ramp up."
501,RAY,501,"(to Sheryl) You just stay with me! Grab
my jacket!"
502,SHERYL,502,"I got you Ferrier. (trips) oh, Jesus!"
503,RAY,503,You okay? Come on!
504,SHERYL,504,Jesus. Oh my god!
505,RAY,505,Come on.
506,SHERYL,506,"Oh, Ray!! RAY!!!"
507,SHERYL,507,"NO, I CAN GO WITH HIM!!!  RAY!!!! NO!!!!"
508,RAY,508,SHERYL?!?!? SHERYL!!!!
509,SHERYL,509,RAY!!!!
510,RAY,510,There's room on the boat!!!
511,SHERYL,511,LET US THROUGH GOD DAMN IT!!!
512,RAY,512,"THERE'S STILL ROOM ON THE BOAT!!! THERE'S
ROOM ON THE BOAT!!! THERE'S ROOM ON
THE BOAT!!!"
513,RACHEL,513,ROBBIE?!?!
514,RAY,514,Stay with me! Stay with me Robbie!!!
515,RAY,515,ROBBIE!!!
516,RACHEL,516,"(seeing Robbie running to the stern)
Robbie? Robbie!?!?!"
517,RAY,517,Robbie!!!
518,RACHEL,518,ROBBIE!!!
