,character,line #,line
77,CLARICE,77,"All that detail, just from memory...?"
78,DR. LECTER,78,"Memory, Officer Starling, is what I
have instead of view."
79,CLARICE,79,"Dr. Lecter, if you'd please consider -"
80,DR. LECTER,80,"No, no, no. You were doing fine,
you'd been courteous and receptive
to courtesy, you'd established trust
with the embarrassing truth about
Miggs, and now this ham-handed segue
into your questionnaire. It won't
do. It's stupid and boring."
81,CLARICE,81,"I'm only asking you to look at this,
Doctor. Either you will or you won't."
82,DR. LECTER,82,"Jack Crawford must be very busy indeed
if he's recruiting help from the
student body. Busy hunting that new
one, Buffalo Bill... Such a naughty
boy! Did Crawford send you to ask
for my advice on him?"
83,CLARICE,83,"No, I came because we need -"
84,DR. LECTER,84,"How many women has he used, our Bill?"
85,CLARICE,85,Five... so far.
86,DR. LECTER,86,All flayed...?
87,CLARICE,87,"Partially, yes. But Doctor, that's
an active case, I'm not involved. If -"
88,DR. LECTER,88,"Do you know why he's called Buffalo
Bill? Tell me. The newspapers won't
say."
89,CLARICE,89,"I'll tell you if you'll look at this
form."
90,CLARICE,90,"It started as a bad joke in Kansas
City Homicide. They said... this one
likes to skin his humps."
91,DR. LECTER,91,"Witless and misleading. Why do you
think he takes their skins, Officer
Starling? Thrill me with your wisdom."
92,CLARICE,92,"It excites him. Most serial killers
keep some sort of trophies."
93,DR. LECTER,93,I didn't.
94,CLARICE,94,No. You ate yours.
95,DR. LECTER,95,Send that through.
96,DR. LECTER,96,"Oh, Officer Starling... do you think
you can dissect me with this blunt
little tool?"
97,CLARICE,97,No. I only hoped that your knowledge -
98,DR. LECTER,98,"You're sooo ambitious, aren't you...?
You know what you look like to me,
with your good bag and your cheap
shoes? You look like a rube. A well-
scrubbed, hustling rube with a little,
taste... Good nutrition has given
you some length of bone, but you're
not more than one generation from
poor white trash, are you Officer
Starling...? That accent you're trying
so desperately to shed - pure West
Virginia. What was your father, dear?
Was he a coal miner? Did he stink of
the lamp...? And oh, how quickly the
boys found you! All those tedious,
sticky fumblings, in the back seats
of cars, while you could only dream
of getting out. Getting anywhere -
yes? Getting all the way - to the
F...B...I."
99,CLARICE,99,"You see a lot, Dr. Lecter. But are
you strong enough to point that high-
powered perception at yourself? How
about it...? Look at yourself and
write down the truth."
100,CLARICE,100,Or maybe you're afraid to.
101,DR. LECTER,101,"You're a tough one, aren't you?"
102,CLARICE,102,Reasonably so. Yes.
103,DR. LECTER,103,"And you'd hate to think you were
common. My, wouldn't that sting!
Well you're far from common, Officer
Starling. All you have is the fear
of it."
104,DR. LECTER,104,Now please excuse me. Good day.
105,CLARICE,105,And the questionnaire...?
106,DR. LECTER,106,"A census taker once tried to test
me. I ate his liver with some fava
beans and a nice chianti... Fly back
to school, little Starling."
107,MIGGS,107,"I b-bit my wrist so I c-can diiiieeee!
S-ee how it bleeeeeeeeds?"
108,DR. LECTER (O.S.),108,Officer Starling... Officer Starling!
109,DR. LECTER,109,"I would not have had that happen to
you. Discourtesy is - unspeakably
ugly to me."
110,CLARICE,110,Then please - do this test for me.
111,DR. LECTER,111,"No. But I will make you happy...
I'll give you a chance for what you
love most, Clarice Starling."
112,CLARICE,112,"What's that, Dr. Lecter?"
113,DR. LECTER,113,"Advancement, of course."
114,DR. LECTER,114,"Go to Split City. See Miss Mofet, an
old patient of mine. M-O-F-E-T...
Now go. Go."
115,DR. LECTER,115,"I don't think Miggs could manage
again so soon, even if he is crazy -
do you?"
116,ARDELIA,116,"Phone call, Clarice. It's God."
117,CLARICE,117,"Thanks, Ardelia."
118,ARDELIA,118,"You missed Fourth Amendment law.
Unlawful seizure, real juicy stuff.
Where were you all afternoon?"
119,CLARICE,119,"Pleading with a crazy man, with come
all over my face."
